Title,ConstituentID,Date
Aktionen,7910.0,1965-1966
Gerhard Richter - Painting,42021.0,2012
Repeat of pictorial initial L from page 14 (page 28) from LES PETITES FLEURS,511.0,1928
"Ozarks, Missouri",3373.0,1938
Decollaged Posters,2007.0,1981
Untitled [window washer],229.0,1899-1900
Female from Male and Female,710.0,c. 2001
"Headpiece (after Louis Süe, page 107) from ARCHITECTURES",1069.0,1921
"New York School, The First Generation",1384.0,1965
Untitled study for Untitled (policeman),8285.0,c. 2015
Atlantic Avenue No 2: Transparent Houses,710.0,c. 1990
"John Szarkowski, France",2002.0,1989
Headpiece (folio 7 verso) from À toute épreuve (Proof Against All),4016.0,"1947–58, published 1958"
Dog with Bone,1203.0,1961
The Cannes Studio or In Picasso's Studio (wrapper front) from the illustrated book Dans l'Atelier de Picasso,4609.0,(Print executed 1955)
Untitled,7557.0,(1973)
"Nummer dertien, Effugio A: Chamomile, Russia's National Flower or Running to Rachmaninoff",36615.0,2010
Ngaboni,48277.0,c. 1947
Old Sculptor and Sleeping Model with a Sculpted Group Representing Wrestling Horses (Vieux sculpteur et modèle assoupi avec un groupe sculpté représentant des chevaux luttant) from the Vollard Suite (Suite Vollard),4609.0,"1933, published 1939"
Coquette at the Mirror (Coquette au miroir) (plate XXXI) from MATIÈRE ET MÉMOIRE OU LES LITHOGRAPHIES À L'ÉCOLE,1633.0,1944-1945
SHINTO PRIESTS WALKING THROUGH TEMPLE GARDEN,566.0,1952
Village School Class,5145.0,1912
Duplicate of variant of plate 16 (inserted prospectus) from LE PETIT CHAPERON ROUGE,5994.0,1913-1918
Lady Madonna,1905.0,(1972)
The End,2637.0,1962
Plate (page 25) from La Brebis galante,1752.0,1949
Woods and Seas,1878.0,1980
Marvin Felt Like Berry Gordy's Poor Relation from God Love the Tragic Artist: Meg Cranston on the Life of Marvin Gaye,1293.0,1995
Untitled,8595.0,c. 1940
Ascension Lente,710.0,1949
Untitled from Reconstructions,33915.0,2007
"Mother and Daughter, Roden Street, Belfast",4554.0,1974
"We French Workers Warn You..Defeat Means Slavery, Starvation, Death",5366.0,1942
GENTILLY -- CHÂTEAU DE LA REINE BLANCHE,229.0,1901
New York State,2002.0,1988
Cape Cod,1973.0,1959
Paulistano Chair Technical Drawing,33388.0,1957
Apples from the artist from Containers,5042.0,"1972, published 1973"
Nude,6338.0,c. 1909
Untitled from Seven Houses & Six Flats,7534.0,2006
Three Motifs (Trois motifs),1633.0,1960
Shiny Nude from the Rubber Stamp Portfolio,6318.0,1977
Untitled,4278.0,1963
Two Ideas for Skull Caps. Costume design for the ballet Pocahontas,1982.0,c. 1936
"VISION/TRANSFORMATION, plate 3 (folio 6) from THE WORLD IS A GIFT",3328.0,1987
"Competition for Chairs and Tables, Festival of Misfits, ICA, London, October 23- November 8, 1962",5569.0,1962
Study for Memorial for an Art World Body (Nevermore),281.0,2009
Storyboards,7678.0,(1987-1992)
"La Nausée, plate 22 of 24, from the series, Self Portrait",710.0,2009
Plate (facing page 598) from L'ODYSSÉE,511.0,1930
Tailpiece (folio 40) from CENT COMPTINES,5065.0,1922-1926
After Henri Michaux: 1-10,3515.0,1985
"Plate 3 from the series MAN, GETTING UP FROM A CHAIR (Mann, aufstehend aus dem Stuhl)",3738.0,1988
"Plate (folio 6, recto) from Chu. Gyo. Kai.",4407.0,1943
American Goldfinch,4700.0,1941
Untitled Etching,1145.0,(1985)
"Name Hui Kung Temple, Canton",416.0,"April 1, 1860"
"Near Wudi Modaui, Sudan",3373.0,1963
"Sculpture Vivante (Living Sculpture), Festival of Misfits, Gallery One, London, October 23- November 8, 1962",6115.0,1962
The Working Desk (The Artist's Desk) (Masa de lucru [Masa atelierului]),43150.0,1971
Untitled from Gates to Times Square,1118.0,1978
Folio 22 verso from Utinoe gnezdyshko... durnykh slov (A Little Duck's Nest...of Bad Words),5066.0,1913
"Hope, Your Smell is that of Time, Candles and Incense",1663.0,(1963)
Poker Table,1196.0,1968
Untitled (Pacific No. 37: 100 Channels),22669.0,(1998)
White (Navigating 1),28776.0,2004
Montana,3549.0,1962
"STANDING STONES, LUNDIN LINKS",6387.0,1880s-90s
Brickyard,8422.0,1997
Frontispiece from Les Chants de Maldoror,1364.0,1934
Piece for 3 Mouths (Homage to Toshi Ichiyanagi),21398.0,1962
29 Forumgrafiker - Lunds Konsthall,3919.0,1980
"A. M. Johnson Desert Compound and Shrine, Death Valley, California Project (Preliminary sketch over a photograph)",6459.0,1924–1925
In-text plate (page 141) from OEUVRES,1589.0,1854
THE GIFT (plate following folio V) from THE HIDDLEN BOY,647.0,1984-1985
Study for Laboratory,175.0,1971
Colored Rhythm: Study for the Film,5735.0,(1913)
Untitled Study for Self-Portrait (Upside Down no. 1),1237.0,1992
In-text plate (page 48) from CIRQUE,6624.0,1950
"Untitled, no. 7 of 14, from À l'Infini (set 1)",710.0,2008
Plate 3 from La Proue de la Table,922.0,1967
Ruin of Map of Hipparchus (100 B.C.) in Oswego Lake Quadrangle (1954-55),5497.0,(1967)
Tattoo from Selections from The Nude Man,2684.0,1965
III from Primitive Segments,6408.0,1991
Drama (Massacre) (Drame [Massacre]),3821.0,"c. 1933, printed 1972"
Stone (La Pierre),1633.0,1962
MONTFORT L'AMAURY. RUINES,229.0,1907
Grete's Eyes,869.0,1928
Untitled (Wij Zijn Schepen Of Zee…),6288.0,1985
"Untitled from the portfolio E. G., A.....",4849.0,(July 6-August 1) 1966
The Chimney Sweep (Der Schornsteinfeger) from Trip to Berlin 1922 (Berliner Reise 1922),429.0,1922
"Untitled (plate, folio 57-58) from Poetry of Sappho",25414.0,2011
In-text plate (folio 9) from Metafisikal Translations,4488.0,1962
Broken Circle,5497.0,1971
The Song of the Vowels,4016.0,"Palma de Mallorca, April 24, 1966"
Event,399.0,1965
Plate (page 155) from PENTATOLI,1686.0,1926-1931
Untitled (for Parkett no. 95),41664.0,2014
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Exterior perspective at roof corner",7166.0,1944
Cathedral,1739.0,1886
Two Visual Compositions,35796.0,1970
MAISON ADÈLE FOUCHER. GENTILLY,229.0,1915
"Liberty, with French, Indian, Highlander, and Green Mountain Soldiers. Ticonderoga, New York",2002.0,1975
Self-Portrait,5631.0,c. 1930
Untitled,49199.0,c. 1950
Untitled from Reverse Golems,37228.0,2012
Plate V from The Ring of Dawn Suite (Suite la bague d'aurore),4016.0,1957
Inroads Rebuff'd (pages 1-2) from Fluxus 1,2637.0,"1961, assembled 1964"
Untitled,8595.0,c. 1938–60
Untitled,74696.0,n.d.
"Brigada khudozhnikov, no. 5-6",24237.0,1931
Solitudes 118,7025.0,2004
Untitled,5712.0,"(May 13-19, 1970)"
Landscape Panoramas,1533.0,1971
Television is Great Because if You Close Your Eyes It Sounds Like the Radio,40384.0,1984
Untitled,75015.0,1970-85
In-text plate (folio 36) from LE RÊVE DE L'AMMONITE,107.0,1972-1975
"Crouching Figure (Personnage accroupi), plate VIII from Vignettes Lorgnettes",1633.0,1948
Nude Back Apron (Fakefluxus Reproduction),21398.0,1967/2000
Protecting the Homeland,28784.0,2003
"BOOK ""THE YOUTH OF MAYAKOVSKY"" by V. Kamensky",6032.0,1931
Untitled: From Chickasaw Series. (Grimes Manufacturing),1986.0,(1970)
AD for DA,756.0,c. 1969–70
Faust,1474.0,1828.  (Prints executed 1826-1827).
Untitled,8595.0,c. 1938–60
"Americus, Georgia",1690.0,1976
"SHEPHERDS AND DRYAD MAIDENS (in-text plate, page 52) from LES ÉGLOGUES",3697.0,1912-1926
"Plate 3 from L'AVANGUARDIA INTERNAZIONALE, Volume 4/L'AVANT-GARDE INTERNATIONALE, Volume 4/THE INTERNATIONAL AVANT-GARDE, Volume 4",960.0,1962
From the Bauhaus Roof,1833.0,c. 1929
The Clash,6011.0,1980
The Pointer,41913.0,1939
"Variant of plate facing page 130 (supplementary suite, plate 11) from L'ODYSSÉE",511.0,1930
Prostoe kak mychanie,23323.0,1916
"10th Anniversary of ""Tategumi Yokogumi"" Magazine",7283.0,1993
"Untitled (John Fahey, Robbie Basho, Nick Drake, Skip Spence)",28829.0,2004
"Evidence: The sash cord was used to strangle Paula Magnana, the only clothing found on her body were her shoes and socks",8595.0,"August 2, 1937"
Untitled (Notebook Drawing),28616.0,2002
The Suicide (Le Suicide),6064.0,1894
A Flux Corsage,2007.0,1969
Tumblers,10247.0,Before 1947
"Bièvres, place de l'Eglise",229.0,1924
Memphis,1690.0,1971
Wrapper from REPLI,3832.0,1946-1947
"Company Representative, Leeming Services, North Yorkshire",2286.0,September 1982
Cardboard Landscapes,39882.0,1971-73
"Cementerio de la Ciudad Abierta, Ritoque, Chile",45185.0,1975
"Floor plan for the exhibition ""Bauhaus 1919-1928,"" The Museum of Modern Art, New York, December 7, 1938-January 30, 1939",399.0,1938
Portrait of Emmett Williams from Fluxus 1,21398.0,"c. 1963, assembled 1964"
Ladle,9629.0,1918-1942
"Spring Landscape (Frühlingslandschaft) (plate, preceding p. 1) from the periodical Das Kunstblatt, vol. 2, no. 1 (Jan 1918)",2569.0,1918 (executed 1913)
"IIT Library and Administration Building, Chicago, IL (Structural detail, section. Sketch.)",7166.0,1944
Untitled,11875.0,1919
Typograficke skicovani tiskopisu se stockem,8254.0,1934
Silver Sides,352.0,1966
"Colorado Springs, Colorado",66.0,1968
"Project Series: Christopher D’Arcangelo. Savigny s/Orge: Antinomian Press, 15 June 2011",41829.0,2011
Brennan of the Moor,31904.0,1913
1.3.85,4907.0,1985
"Figure and Foliage, final state",129.0,1960
"Still Life with Fish, II",855.0,1949
Tumbler,5970.0,1954
"Hey Diddle Diddle, the Cat and the Fiddle",5983.0,2003
KIM'S OTHER DECISION,5712.0,(April 8-16) 1970
PREGNANT WIFE,4936.0,1967
A Mile of Crosses on the Pavement,35906.0,1979-80
Untitled,6432.0,published c. 1946
The Ballad of Sexual Dependency,7532.0,1979-2004
Untitled (white lines),6168.0,c.1973
Reinforced Concrete Pontoons. General view of construction of reinforcing for decking,8595.0,"March 14, 1916"
In-text plate (folio 14; duplicate of folio 6) from AIR MEXICAIN,5795.0,1952
Girl in Sling Chair,2060.0,1964
Beds. Bed Detail. Stool. (Elevation sketches),7166.0,early 1930s
"Window, Uniontown, Alabama",1112.0,1974
ASYLUM from the portfolio RECOGNITIONS,5695.0,(March 15-April 8) 1968
Jungle Scene,3440.0,c. 1936
"TUI (in-text plate, folio 11) from I CHING",2832.0,1969
SAINT SÉVERIN,229.0,1923
BLUE SEAL II from the series TAMARIND SQUARES,4677.0,"(June 22-29, 1967)"
"BLIND MAN, plate 48, THREE BLIND MEN, plate 49, EX-LIBRIS FOR M. & B. ESTY, plate 50, DEAD BIRD, plate 51, POMEGRANATE, plate 52, EX-LIBRIS FOR R",369.0,(Prints executed 1952)
Baboon and Young,4609.0,"Vallauris, October 1951 (cast 1955)"
(Man in bandages in church),5496.0,1944
Headpiece (page 109) from PASSION,5053.0,1928-1939
Untitled,3858.0,1961
Popular Music 1 (Unterhaltungsmusik 1),5042.0,1976
Kleur/ Farbe/ Renk/ Chromo,33693.0,2005
Masters of the Universe,33825.0,2004
The Manuscript Found in a Bottle (Le Manuscrit trouvé dans une bouteille),795.0,1974
Before Entering the Ring,652.0,1930-35
Untitled (License Plate Drawing),7817.0,1988
Richard Meier letterhead,3910.0,1960s-1970s
Plate 10 (folio 11) from INTERLUDE,5983.0,1974
"La treille from the portfolio Bayard: XXV Calotypes, 1842-1850",398.0,1842-50
"Girl with Red Hair, Ferry from Algeciras to Tangier",42323.0,2002
Recto/Verso #2,2578.0,1988
He/She,2578.0,1980
Three Dancers,3296.0,1927
"Sonora Desert, Arizona",2002.0,1995
Zone,2923.0,1972
Untitled (Sculpture),7520.0,2000
"Untitled, plate 4 of 8, from the puritan",710.0,1990
"Bedroom, Shrimp Fisherman's House, Biloxi, Mississippi",1777.0,1945
The Faces of the Critic,710.0,1998
Plate 7 (folio 28) from DECLARACION UNIVERSAL DE DERECHOS HUMANOS,1138.0,1984
STUDY,3960.0,1952
Tailpiece (page 5) from L'IMITATION DE JÉSUS-CHRIST,1492.0,1893-1903
Still Life,6177.0,(1913-1914)
"A Market in Zealand (Un marché en Zélande) from L'Estampe Moderne, Number 15",6693.0,published July 1898
Parc de Saint-Cloud,229.0,1919-21
Close No. 11 Bridgegate,190.0,1897
Cyclist with Five Cows,1633.0,(July) 1943
Usuyuki,2923.0,1979
"Bondage no. 1, December 1976",42279.0,1976
Cup and Saucer,6208.0,1932
"Interior of Ozark School, Arkansas",5366.0,September 1935
StarTAC Cellular Telephone,10979.0,c.1996
FONTAINE CHILDEBERT. SQUARE MONGE,229.0,1909
MUKFA from an untitled portfolio,3779.0,1962-1963
Gianni,7027.0,1984
Untitled from the portfolio 10 SCREENPRINTS BY AD REINHARDT,4856.0,1966
"San Francisco, California (""Bop City"")",3373.0,1951
"Aktion in einem Kreis, Action in a Circle",833.0,1966
Chorus,414.0,1960
"Clown, costume design for Aleko (Scene II)",1055.0,(1942)
THE DWARF from the portfolio THE MIDGET AND THE DWARF,5284.0,"(October 24-November 3, 1960)"
Driftwood textile,48280.0,c. 1947
Plate (folio 13 verso) from Histoire des rechutes,6541.0,1968
"Canto VI: Circle Three, The Gluttons from the series Thirty-Four Illustrations for Dante's Inferno",4823.0,(1958)
Emma's Face Turned to the Left I (Visage d'Emma tourné à gauche I),3832.0,1915
First letter home from New York (also I joined The Museum of Modern Art),7094.0,1978
"An Activity Situation Using Streets, A Traffic Light, Morning Traffic, Standing Still, Moving and Standing Pedestrians",53.0,c. 1969
0903,28775.0,(2003)
Plate (page 187) from LES CONQUÉRANTS,3821.0,1948-1949
"German Pavilion, International Exposition, Barcelona, Spain (Section, glass partition)",7166.0,c. 1928-29
"Death Valley, California",2002.0,2002
Sailboat,6582.0,c. 1915-20
Unused preparatory drawing for In Memory of My Feelings,3213.0,1967
Open and Shut Case,2007.0,c. 1966
Eleanor,924.0,c. 1954
"The Automobile (El Automovil), plate 24, from Twenty-five Prints of José-Guadelupe Posada",4707.0,published 1942
Roof Advertisement (Entwurf für eine Dachreklame). Promotional design for glass painter Ernst Kraus,399.0,1923
Untitled,28834.0,2003
Hungarian travel poster,23390.0,1900-1943
"New Orleans, Louisiana",2002.0,1973
"Tugendhat House, Brno, Czech Republic (Perspective sketch)",7166.0,1928-1930
Music Machine for Paul,2934.0,1978
MAJESTIC FUJI,215.0,1900-59
"G. Braque, Braque Graveur, Berggruen & Cie",744.0,1953
Pakistan,3373.0,1958
"Draft of Student Series: Agency. San Francisco: Antinomian Press, 2 October, 2012",41829.0,2012
In-text plate (page 50) from L'Évangile (The Gospel),3753.0,"1947–49, published 1949"
Figures,5821.0,c. 1921–23
Sailor. Costume design for the ballet Pocahontas,1982.0,c. 1936
100 Years,8045.0,2001
"Morris Greenwald House, Weston, Connecticut, Plans, elevations and sections",7166.0,1960
Drawing Pencils (Lápices de dibujo),43702.0,2011
UFOs,42632.0,1971
The Spine,33693.0,1994
"Gold Leaf, Red & Black",2895.0,1981
"Beth Sholom Synagogue, Elkins Park, Pennsylvania",6459.0,1954
Rue du Cygne Seen from Rue Mondétour,3810.0,1866
Drawing from L'Évangile (The Gospel),3753.0,c. 1949
Low Tide Wandering No. 7 (Wattwanderung No. 7) from Low Tide Wandering (Wattwanderung),5281.0,2001
Untitled (New Perspective on Floors I),2931.0,1966
Untitled (12 bits),28538.0,2009
"THE HOUND AND HIS COMPANION (plate 16, 2nd supplementary suite) from FABLES",1055.0,1927-1952
Leather Crotch,3745.0,1980
"Josef Esters House, Krefeld, Germany, Plan, upper story",7166.0,c. 1927-30
Radio - Rural Electrification Administration,409.0,1937
Tumbler,4233.0,1954
Weeping,28831.0,2002
"Plate 2 of 11, from the illustrated book, He Disappeared into Complete Silence",710.0,1995
Frontispiece from ENTWURF EINER LANDSCHAFT,5059.0,1930
Untitled (plate facing page 68) from The Voice and the City and Other StoriesThe Voice of the City and Other Stories,2374.0,1935 (drawings executed 1933/34)
"VIRGO (plate, folio 8) from ZODIAQUE",2435.0,1964
Untitled from Study for Twenty-two Constructions from 1967,5143.0,c. 1986
"The Dwelling of Our Time, German Building Exhibition, Berlin, Germany",8059.0,1931
Color Studies,1533.0,1973
Eugène Delacroix,4196.0,c. 1857
"End of Shift, Richmond, California",3373.0,1942
Dearborn Observatory,4916.0,1966
Razboinik Van'ka-Kain i Son'ka-Manikiurshchitsa. Ugolovnyi roman (The Robber Van'ka-Cain and Son'ka the Manicurist: A Criminal Novel),12074.0,1925
"THE CORK OAKS (plate; volume II, page 73) from LES GÉORGIQUES (GEORGICA)",5318.0,1933-1947
Untitled (Notebook Drawing),28616.0,(1998/2002)
Untitled from Point of Departure,49122.0,1991
Plate (folio 10) from THIS HUNGER,2756.0,1945
Untitled,4239.0,1986
Son of Sinbad,41899.0,1955
Stills from the JFK Assasination Film,8506.0,"November 22, 1963"
"Lemke House, Berlin, Germany, Floor plan with furniture placement",7166.0,1932-1933
Exclusive Memory,35633.0,1987
"Off Main Street, Plains, Georgia",1690.0,1976
Plate (page 41) from LE SATIRICON,2012.0,1948-1949
"Here is the Calavera, gentlemen, of all the good buddies (Acqui la calavera está, señores, de toditos los buenos valedores)",4707.0,1910
Winter Landscape,2232.0,1967
CONSTRUCTION,5729.0,(1951)
ENSEIGNE RUE DE LAPPE 19,229.0,1911
"The Faun (plate, page 49) from Viaggio in Italia",502.0,1945-1951
FORT DE LA MÉGISSERIE,229.0,1912
Lacs de Montagne,710.0,1997
Work Drawing: Handpiece,7662.0,1969
The Color,135.0,1966
Bouillon-Blanc,229.0,1896?
Tailpiece (page 171) from SAINTE MONIQUE,665.0,1920-1930
"Self 4, Brookline",4315.0,2008
Low Tide Wandering No. 15 (Wattwanderung No. 15) from Low Tide Wandering (Wattwanderung),5281.0,2001
Untitled,8595.0,1929-32
Interior with Two Figures (Interieur mit zwei Figuren),2569.0,1911
Harlequin (Self-Portrait),2284.0,c. 1944
Study for Modulated Surface no. 2 (Superfície modulada no. 2),27445.0,1957
The Sleeping Gypsy,5056.0,1897
Aktual Community,29427.0,n.d.
"Oakland, California",6399.0,1978-83
"Composition with Red, Blue, Black, Yellow, and Gray",4057.0,1921
Amstel River,4057.0,1907
"Hungarian Catholic League Ball, New York City",1877.0,1977
Richard Harrison as De Lawd in Green Pastures,5623.0,1930
Plate (folio 15 verso) from SALT NOTES,806.0,1989-1990
"WHITE 10-13 (in-text plate, folio 19) from A LA PINTURA/TO PAINTING",4126.0,(Print executed 1972)
Saint-Cloud,229.0,1922
"A COUNTRY ROAD, SNOW",169.0,1909
"Flowers in Glass, No. 6 (frontispiece) from Picasso Lithographe, Volume II",4609.0,"April 22, 1947, published 1950"
"Sketchbook: El Golea, II",1633.0,1948
Untitled,4975.0,1919
Safety Pin,27037.0,1849
CHÂTEAU DE BAGATELLE,229.0,1913
Harbor Street (Hafenstrasse),5242.0,(1923)
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",44450.0,1999
Portraits,1633.0,1947
"Orion-Automobil-Werkstätten, Hardturmstrasse 185, Zürich",8239.0,After 1929
DOUBLE RED SPIRAL from the series TAMARIND SQUARES,4677.0,"(June 26-July 7, 1967)"
"Ulrich Lange House Project, Krefeld, Germany, Site plan",7166.0,1935
"Untitled (""Good Dream"") from the series Time of My Life",25523.0,1992–2000
"Grasshopper and Beetles (plate, folio 23) from A Little Book of Natural History",369.0,1951
Stacking Side Chair,2869.0,1951
"Urban Proposal with Multi Thin-Shell Capsules, project (Plan)",42362.0,1970
Untitled,5640.0,(1967-68)
MAIMONIDES (frontispiece) from ECCLESIASTES,5366.0,1965
"New York, New York, 1974",5409.0,1974
"The Night (Die Nacht) (headpiece, page 34) from Umbra vitae (Shadow of Life)",3115.0,1924
Paper Fluxwork,35728.0,1964
"GIBRALTAR, LOOKING SOUTH. APE'S HILL IN DISTANCE, FROM ARTILLERY SUMMER HOUSE, MARCH 1852",959.0,1852
"Holy Redeemer Church, San Cristóbal de la Laguna, Tenerife, Spain (Plan)",29689.0,2005
Orion,8239.0,After 1929
Portrait of My Uncle,4324.0,1931
Mangue,5317.0,"1941, published 1943"
A Swift Requiem: Marcel Duchamp 1887-1968,14022.0,1968
Drawing Restraint 8: Condition 2003,7005.0,2003
Ville d'avray. Étang,229.0,1925
Poster of the French National Railroad,101.0,1900-1943
"DAPHNIS ON CHLOE'S BACK (in-text plate, page 164) from DAPHNIS AND CHLOE",3697.0,1937
Figure Looking Out,1097.0,1982
Gavin,8042.0,2002
"The Couple, plate 5 of 7, from the portfolio, La Réparation",710.0,2003
Easter Lily and Bud,4039.0,c. 1925
Arithmetic. Class studying under the Spear method,7851.0,1899-1900
Interior of Holy Cross,959.0,August 1853
Composition 1971 [version A],21398.0,1971
"1 rue Brisemiche, Vieille Maison",229.0,1908
"Self 36, Brookline",4315.0,2009
Untitled,198.0,1966
"Untitled (""Hell Kitty Pupp Kin"") from the series Time of My Life",25523.0,1992–2000
"Generative Painting: Black, Red, Orange",3664.0,1965
THE PRINCE OF WALES,562.0,1867-70
New York and Graveyard,5326.0,(1946)
"Kevin Gordon; 37 years old; Oakland, California; $40",7027.0,1990-92
"Farnsworth House, Plano, Illinois (Elevations)",7166.0,1949
"From ""Miracles"" series #1",8494.0,2003
Untitled from Matrix for Series of Twenty-two Photostats,5143.0,c. 1982
Unmounted slipcase cover (2 plates inserted in book) from the illustrated book Chronique des Temps Héroïques,4609.0,1953-1956
Montreux-Bernese Oberland,23390.0,1900-1937
Portrait of the Artist as a Young Woman,41.0,Negative c. 1930/Distortion c. 1950
Untitled from Vanish,3528.0,1994
"Plate (volume I, folio 40 verso) from FORMULATION: ARTICULATION",97.0,1970-1972
"Falling (plate, folio 6) from Oda a Lorca",1975.0,1962
Dent prompte,1752.0,"1963, published 1969"
ESCALIER. 11 QUAI D'ANJOU,229.0,1903-04
Galleon,1832.0,1940
"Plague (Pest) (plate 5) for the portfolio On Death, Part II, Opus XIII (Vom Tode, Zweiter Teil, Opus XIII)",3149.0,1903 (published 1904)
Bowl,22614.0,1993
4/26/61,5494.0,1961
II for the unpublished book SALT,6526.0,"(November 28-29, 1960)"
Solidarnosc (Solidarity),38524.0,1989
In-text plate (page 16) from UNE SAISON EN ENFER,1276.0,1951
"A. M. Johnson Desert Compound and Shrine, Death Valley, California Project (Perspective)",6459.0,1924–1925
ABSTRACTION,6327.0,1955
Untitled,39882.0,1970s
Our Daily Bread,32432.0,1934
Drawing Which Makes Itself: Disjoin,4972.0,1973
Untitled,124.0,(April 11) 1961
"Midway Gardens, Chicago (Study for the concrete-block railings for the garden, arcade, belvedere, and main building balconies)",6459.0,1913–1914
Wishing You a Berry Merry Christmas and a Grape New Year from Pinaire Lithographing,2006.0,1979
10 ORIGINAL-LITHOGRAPHIEN,392.0,(n.d.)
Meander No. 5,30437.0,1960
"Woman Drinking Beer on the Beach, Playa Ancon, Cuba",2216.0,1989
Untitled,8595.0,1929-32
Maisons-Lafitte-château,229.0,1910
"El Candelaria, Guatemala",4192.0,1875
"David Catfish Hayes. Home Interview. May 10, 1989",67801.0,1989
"Max and Richard, New York City",7532.0,1983
"Nude in the Landscape (Akt vor Landschaft) (headpiece, page 63) from Umbra Vitae (Shadow of Life)",3115.0,1924
"Story Teller, County Clare, Ireland",3373.0,1954
IOS to mid 1970,22980.0,1994
Joan Crawford,5623.0,1932
In-text plate (page 81) from Le Chant des morts,4609.0,"1945–48, published 1948"
"Invitation to Pyramids of Mars, The Curve, Barbican Art Center, London, February 8–March 25, 2001",33825.0,2000
Cloud Scissors from Fluxkit,756.0,1965
Farming Couple –  Propriety and Harmony,5145.0,1912
T Pyramid (3R) M148 (M148T Pyramid),1857.0,1975
Untitled,2284.0,n.d.
34 costume designs for the opera Satyagraha,2839.0,(1982)
Untitled from Fluxus 1,6269.0,"1962–64, assembled c. 1976"
Stool (model B37),5865.0,c.1932
Untitled from Women are Beautiful,6399.0,1970
"Albuquerque, New Mexico",2002.0,1972
Double page in-text plate (folios 19 verso and 20) from GIANT WALL,4510.0,1990
"Figure from the Left of ""Three Figures"" (Personnage de gauche de la ""Trois figures"")",3832.0,1930
"Duplicate of plate facing page 80 (supplementary suite, plate 19) from DIALOGUES",3409.0,1951
"Imperial Exposition of the German Textile and Garment Industry, Berlin, Germany (Plan, elevations, and sections, curved plate-glass wall)",8059.0,1937
Untitled,38678.0,(2008-10)
"Montezuma, Georgia",1690.0,1976
Direction / A Flux Game from Fluxkit,756.0,c. 1965
Zavjet za Epetion,4187.0,1984
Untitled from 1999,3230.0,1999
Plate (page 24) from PARADISE GARDEN,4325.0,1971
"Hands of Old Homesteader, Iowa",3455.0,1936
Untitled #7,26770.0,1979-84
Repose,6275.0,1928
Wall with Souvenirs II (Mur aux souvenirs II),1633.0,1958
Landscape 5 from Ten Landscapes,3542.0,1967
Francesco,7027.0,1985
Low Tide Wandering No. 68 (Wattwanderung No. 68) from Low Tide Wandering (Wattwanderung),5281.0,2001
Untitled,8595.0,c. 1938–60
